sequence_id	original_indus	english_translation
seq_0	na cha jha	The sacred water place
seq_1	na pa na	The father of water
seq_2	cha jha na	The sacred place water
seq_3	na na jha	Water water place
seq_4	jha cha na	Place sacred water
seq_5	pa na cha	Father of sacred water
seq_6	na jha cha na	Water Place Sacred Water
seq_7	cha na jha na	Sacred Water Place Water
seq_8	na cha na jha	Water Sacred Water Place
seq_9	jha na cha	Place water sacred
seq_10	gh nan jha	House nan place
seq_11	dh pa nan	Hold father nan
seq_12	nan nan nan	Nan nan nan
seq_13	nan la pa	Nan small father
seq_14	ga ku ku	Great grain grain
seq_15	ja ra na	Come king water
seq_16	mu sh pr	Mouth shine before
seq_17	dh ch ja	Hold cut come
seq_18	da pa ch	Do father cut
seq_19	pa si ba	Father sit good
seq_20	nan la pa	Nan small father
seq_21	nan sa ka	Nan stand person
seq_22	nan ta na	Nan three water
seq_23	nan ma ra	Nan mother king
seq_24	nan pa ka	Nan father person
seq_25	na gh jha	Water house place
seq_26	dh nan pa	Hold nan father
seq_27	na nan cha	Water nan sacred
seq_28	pa nan nan	Father water water
seq_29	ga ja jha	Great come place
seq_30	cha pa jha na	Sacred Father Place Water
seq_31	gh nan dh jha	House Nan Hold Place
seq_32	na nan pa cha	Water Nan Father Sacred
seq_33	nan nan nan na	Nan Nan Nan Water
seq_34	ga ku ku jha	Great Grain Grain Place
seq_35	ja dh an nan	Come Hold At Nan
seq_36	mu re pa cha	Mouth Flow Father Sacred
seq_37	da sa nan pa	Do Stand Nan Father
seq_38	nan sa pa jha	Nan Stand Father Place
seq_39	na na ja jha	Water Water Come Place
seq_40	dh sa ha cha	Hold Stand Land Sacred
seq_41	gh nan da pa	House Nan Do Father
seq_42	pa ta nan jha	Father Three Nan Place
seq_43	nan la nan na	Nan Small Nan Water
seq_44	ga ra ch cha	Great King Cut Sacred
seq_45	ja dh an pa	Come Hold At Father
seq_46	mu re pa jha	Mouth Flow Father Place
seq_47	da sa nan na	Do Stand Nan Water
seq_48	nan ma nan cha	Nan Mother Nan Sacred
seq_49	nan sa pa pa	Nan Stand Father Father
seq_50	na na jha cha	Water Water Place Sacred
seq_51	dh sa pa jha	Hold Stand Father Place
seq_52	gh nan na cha	House Nan Water Sacred
seq_53	pa ta jha pa	Father Three Place Father
seq_54	nan la na jha	Nan Small Water Place
seq_55	ga ra cha pa	Great King Sacred Father
seq_56	ja dh jha na	Come Hold Place Water
seq_57	mu re pa cha	Mouth Flow Father Sacred
seq_58	da sa na jha	Do Stand Water Place
seq_59	nan ma cha pa	Nan Mother Sacred Father
seq_60	nan sa jha na	Nan Stand Place Water
seq_61	nan ga cha jha	Nan Great Sacred Place
seq_62	na dh pa cha	Water Hold Father Sacred
seq_63	gh pa jha na	House Father Place Water
seq_64	nan nan cha pa	Nan Nan Sacred Father
seq_65	ga ja jha cha	Great Come Place Sacred
seq_66	mu da na pa	Mouth Do Water Father
seq_67	nan nan cha jha	Nan Nan Sacred Place
seq_68	nan nan pa na	Nan Nan Father Water
seq_69	ga na cha jha	Great Water Sacred Place
seq_70	dh na pa cha	Hold Water Father Sacred
seq_71	gh nan jha na	House Nan Place Water
seq_72	pa nan cha pa	Father Nan Sacred Father
seq_73	nan nan jha cha	Nan Nan Place Sacred
seq_74	nan ga na pa	Nan Great Water Father
seq_75	ja re jha cha	Come Flow Place Sacred
seq_76	mu da na jha	Mouth Do Water Place
seq_77	nan nan cha pa	Nan Nan Sacred Father
seq_78	nan nan jha na	Nan Nan Place Water
seq_79	ga dh cha jha	Great Hold Sacred Place
seq_80	na nan pa na	Water Nan Father Water
seq_81	pa nan jha cha	Father Nan Place Sacred
seq_82	nan nan na pa	Nan Nan Water Father
seq_83	nan nan cha jha	Nan Nan Sacred Place
seq_84	ga gh pa cha	Great House Father Sacred
seq_85	na pa jha na	Water Father Place Water
seq_86	dh nan cha pa	Hold Nan Sacred Father
seq_87	na nan jha cha	Water Nan Place Sacred
seq_88	nan nan na pa	Nan Nan Water Father
seq_89	ga na cha jha	Great Water Sacred Place
seq_90	na dh pa cha	Water Hold Father Sacred
seq_91	gh pa jha na	House Father Place Water
seq_92	nan nan cha pa	Nan Nan Sacred Father
seq_93	nan nan jha cha	Nan Nan Place Sacred
seq_94	nan ga na jha	Nan Great Water Place
seq_95	ja nan pa cha	Come Nan Father Sacred
seq_96	mu pa jha na	Mouth Father Place Water
seq_97	nan nan cha pa	Nan Nan Sacred Father
seq_98	nan nan jha cha	Nan Nan Place Sacred
seq_99	ga na dh jha	Great Water Hold Place
seq_100	na nan pa cha	Water Nan Father Sacred
seq_101	nan nan nan pa	Nan Nan Nan Father
seq_102	ga gh ja jha	Great House Come Place
seq_103	na mu nan cha	Water Mouth Nan Sacred
seq_104	pa nan nan pa	Father Nan Nan Father
seq_105	nan nan nan jha	Nan Nan Nan Place
seq_106	ga dh na cha	Great Hold Water Sacred
seq_107	na gh pa jha	Water House Father Place
seq_108	nan nan nan pa	Nan Nan Nan Father
seq_109	nan nan ga cha	Nan Nan Great Sacred
seq_110	na dh nan jha	Water Hold Nan Place
seq_111	na pa nan cha	Water Father Nan Sacred
seq_112	nan nan nan pa	Nan Nan Nan Father
seq_113	ga gh mu jha	Great House Mouth Place
seq_114	na nan nan cha	Water Nan Nan Sacred
seq_115	pa nan nan pa	Father Nan Nan Father
