sequence_id	original_indus	english_translation
seq_0	na cha jha	The river's sacred place.
seq_1	na pa na	The father's river.
seq_2	gh _ jha	The _'s place.
seq_3	na _ pa cha	The _'s sacred father.
seq_4	ch ka pa	The person's father.
seq_5	ta ta ba na	The three's good river.
seq_6	ta ra na ku	A river's grain.
seq_7	ch ha ka	A land's person.
seq_8	ma ra ku	A king's grain.
seq_9	ba dh sa sa	A stand holds.
seq_10	ha kh na ta	A river's three.
seq_11	ha ka la pa	The person's small father.
seq_12	ra ma ja	The king's mother comes.
seq_13	pa dh ha	The land holds.
seq_14	_ _ _ pa	The _'s father.
seq_15	pa ma pa pa ra	The father's king.
seq_16	la ta ka sa bh	A person's stand bes.
seq_17	na ka dh ma	The mother holds.
seq_18	sa ra ta la	A king's small three.
seq_19	ku ta ta	A three's three.
seq_20	ja na ra sa ka	A stand's person comes.
seq_21	ku sa la ku ma	The grain's mother.
seq_22	_ la ch	A _'s small cut.
seq_23	ba ta ka ra	The person's king.
seq_24	ta ra ku	A king's grain.
seq_25	ga gh ja jha	The place comes.
seq_26	dh la ta pa na	The father's river holds small.
seq_27	pa pa na	The father's river.
seq_28	ku ra pu	The grain's pure king.
seq_29	dh ma ta ba	A three holds good.
seq_30	sa pa bh dh	Holds.
seq_31	pr ka na	The person's river.
seq_32	la pa ba pa sa	A father's stand.
seq_33	ra sa na	The stand's river.
seq_34	ga dh ma	The great mother holds.
seq_35	ta pa pa	The father's father.
seq_36	na mu _ cha	A mouth's sacred _.
seq_37	la ba ka	A good person.
seq_38	ta ra na	The king's river.
seq_39	ta re la ta	A three flows small.
seq_40	ch ta ta	A three's three.
seq_41	ma pa ma dh ku	A grain holds.
seq_42	dh ta la si	Sits.
seq_43	ra pa ra ta	A king's three.
seq_44	ta ra dh la	The three's king holds small.
seq_45	ba ka pa	The person's father.
seq_46	na ta ra	The three's king.
seq_47	pa _ _ pa	The _'s father.
seq_48	ra si la	The king sits small.
seq_49	ta sa na	The stand's river.
seq_50	la gh na	The house's river.
seq_51	ma ba ma pa	The mother's father.
seq_52	mu ha dh	The mouth's land holds.
seq_53	ta ka ma	The person's mother.
seq_54	ku ma ka	A mother's person.
seq_55	gh la ka ka	A person's person.
seq_56	bh ma na pa _ na	The _'s river bes.
seq_57	ba na pa ha	The father's land.
seq_58	_ _ _ jha	The _'s place.
seq_59	ku bh pa	The father bes.
seq_60	ma da pa gh ta	A house's three does.
seq_61	na la ta	A river's small three.
seq_62	kh ta sa la ka bh	A stand's small person bes.
seq_63	la na na ka ka	A person's person.
seq_64	ka kh mu	A sky's mouth.
seq_65	na ta sa ka ka ma ha ta	A land's three.
seq_66	sa la ma na ba	The mother's good river.
seq_67	_ pa ma	The father's mother.
seq_68	ha pu ma pa	The mother's father.
seq_69	ga dh na cha	The great river holds sacred.
seq_70	ta ra dh ch	A cut holds.
seq_71	ra pa ku	A father's grain.
seq_72	mu ka na	The person's river.
seq_73	pr sa ka ku	A person's grain.
seq_74	ka re pa	The father flows.
seq_75	pa pa la ku	A father's small grain.
seq_76	ma la pa	The mother's small father.
seq_77	pa ku ga	A father's great grain.
seq_78	ba sa sa	A stand's stand.
seq_79	ta ta pa dh pa ja	Comes.
seq_80	na gh pa jha	The father's place.
seq_81	dh na ba ra	The good king holds.
seq_82	ka la pa na bh mu	A mouth bes.
seq_83	ka gh ku	A house's grain.
seq_84	ka ta la	A person's small three.
seq_85	un na ka	A river's person.
seq_86	ku ba ma la ja	The grain's good small mother comes.
seq_87	ma sa pa	The stand's father.
seq_88	na na dh ta ba dh	Holds.
seq_89	dh sa ta	A three holds.
seq_90	ta bh na na	The river bes.
seq_91	_ _ _ pa	The _'s father.
seq_92	na la ka la _	A person's small _.
seq_93	la ma pa pa pa ku pa ka	A father's person.
seq_94	pa ta na sa sa	A stand's stand.
seq_95	la ka ka	A person's person.
seq_96	dh sa dh	Holds.
seq_97	ja sa ba	A stand comes good.
seq_98	ma ka dh	A mother's person holds.
seq_99	ma _ ka sa pa	The stand's father.
seq_100	la sa sa da	A stand's stand does.
seq_101	ch ba la	A small cut.
seq_102	_ _ ga cha	A _'s sacred _.
seq_103	ku ta ta sa	A three's stand.
seq_104	ra ta ta	A three's three.
seq_105	sa pa ku	A father's grain.
seq_106	dh _ na ta	A river's three holds.
seq_107	la ba ra	The good king.
seq_108	ta ra ma ta ha	The three's land.
seq_109	_ sh ba	A _ shines good.
seq_110	ta pa pa _	A father's _.
seq_111	pa la na ja	The father's small river comes.
seq_112	gh na na	The river's river.
seq_113	dh pa _	A _ holds.
seq_114	na dh _ jha	The place holds.
seq_115	sa ha na ma la	The river's small mother.
seq_116	ma pa ba	The mother's good father.
seq_117	na la ma ra	The mother's king.
seq_118	ku ma sa pa	The stand's father.
seq_119	ta pa pa ku	A father's grain.
seq_120	dh la ta	A three holds small.
seq_121	na ka ja ka	A person comes.
seq_122	ja sa ku	A grain comes.
seq_123	ra mu ta	A mouth's three.
seq_124	ta na sh bh _ pa ku	A father's grain bes.
seq_125	na pa _ cha	A father's sacred _.
seq_126	ra ka ma	The person's mother.
seq_127	ta na ka	A river's person.
seq_128	pa pa pa	The father's father.
seq_129	pa an la ra	At the father's small king.
seq_130	ku ka na	The person's river.
seq_131	ha pa pa ka sa na	The stand's river.
seq_132	ma ra bh ma	The mother bes.
seq_133	ka ta ba ta	A three's good three.
seq_134	ka ta la ba pa	The three's good father.
seq_135	dh ga ra sa	A king's stand holds great.
seq_136	_ _ _ pa	The _'s father.
seq_137	bh sa la gh ja	A small house comes.
seq_138	ka sa ta ma ra ga sa pa	The stand's father.
seq_139	ba la ra la na ma sa	A mother's stand.
seq_140	re ka ja	Comes.
seq_141	sa mu ka pa	The person's father.
seq_142	na ra ch ka pa	The person's father.
seq_143	pa na si pa	The father sits.
seq_144	na ka ha	The person's land.
seq_145	ka sa kh	A stand's sky.
seq_146	pa ma ku	A mother's grain.
seq_147	ga gh mu jha	The mouth's place.
seq_148	pa mu sa	A mouth's stand.
seq_149	sa na ha	The river's land.
seq_150	mu na la	The mouth's small river.
seq_151	dh sa ta ja _ ra	The king comes.
seq_152	la ku ma un na	Up the mother's river.
seq_153	na ma ta	A mother's three.
seq_154	ha ga na	The land's great river.
seq_155	ta na _	A river's _.
seq_156	la ka pa pa	The father's father.
seq_157	ku si ku	A grain sits.
seq_158	na _ _ cha	A _'s sacred _.
seq_159	pa na ra ra ga	The king's great king.
seq_160	bh sa pa	The father bes.
seq_161	pa ta ra ja _	A _ comes.
seq_162	na sa ha	The stand's land.
seq_163	ma bh dh sa	A stand holds.
seq_164	na ta ta	A three's three.
seq_165	ch sa pa ta na	The three's river.
seq_166	ga ta ma ma	The mother's mother.
seq_167	ma dh la bh	Bes.
seq_168	dh la ka sa	A person's stand holds small.
seq_169	pa _ _ pa	The _'s father.
seq_170	na na ch	A river's cut.
seq_171	ga _ pa	The _'s father.
seq_172	pa ta mu bh gh	A house bes.
seq_173	pa ta bh na na	The river bes.
seq_174	ba ta ba	A good good three.
seq_175	gh ma pa	The mother's father.
seq_176	ja ra ta	A three comes.
seq_177	ha sa na pa	The river's father.
seq_178	gh ma pa	The mother's father.
seq_179	mu ba ta sa	A three's stand.
seq_180	_ _ ga jha	The _'s great place.
seq_181	ra pa la la	The king's small father.
seq_182	pa ma la _ ch	A _'s cut.
seq_183	kh la si ma	The small mother sits.
seq_184	ra bh ba ka	A person bes good.
seq_185	un ma ma ka	A mother's person.
seq_186	dh si sa	A stand sits.
seq_187	la la ra ku ba pa na	The father's river.
seq_188	ra pa gh	A father's house.
seq_189	ta ch ta na pa	The river's father.
seq_190	pa sa ba	A father's good stand.
seq_191	dh na _ cha	A _ holds sacred.
seq_192	ba _ na ma ta	A mother's three.
seq_193	ja ba pa	The father comes good.
seq_194	pa ku ra	The grain's king.
seq_195	ta mu sa	A mouth's stand.
seq_196	ma bh _ la	A _ bes small.
seq_197	na dh ka pa	The father holds.
seq_198	ma ch ja	A mother's cut comes.
seq_199	pa ch ba	A father's good cut.
seq_200	ta la dh ta	A small three holds.
seq_201	na bh ka	A person bes.
seq_202	na pa _ jha	The _'s place.
seq_203	mu _ g pa	The cow's father.
seq_204	na ch _ ku	A _'s grain.
seq_205	pa na la na	The river's small river.
seq_206	la pa sa ku g	A grain's cow.
seq_207	pa ka ta gh	A three's house.
seq_208	ku ga ta	A grain's great three.
seq_209	ma na ga na pa	The river's father.
seq_210	pa sa pa	The stand's father.
seq_211	ka _ gh	A _'s house.
seq_212	ra _ la	A king's small _.
seq_213	_ _ _ pa	The _'s father.
seq_214	ka pa g	A father's cow.
seq_215	ka ra la	The person's small king.
seq_216	sa ku ka ma ka	A mother's person.
seq_217	ja sa dh bh	Bes.
seq_218	gh na ka la pa	The person's small father.
seq_219	ku ba sa gh ka	A house's person.
seq_220	na sa na	The stand's river.
seq_221	pa _ la gh	A _'s small house.
seq_222	un ja ra	Up the king comes.
seq_223	sa ta na	The three's river.
seq_224	_ _ _	A _'s _.
seq_225	ga na gh cha	A river's sacred house.
seq_226	la ka dh	A small person holds.
seq_227	ma ra _	A king's _.
seq_228	la la pa	The small father.
seq_229	ma pa pa gh	A father's house.
seq_230	ch pa ka _ ka ka	A person's person.
seq_231	ba ch ra pa	The king's father.
seq_232	ta la ra na la	The king's small river.
seq_233	ma bh ku ha	The land bes.
seq_234	ta ra la na	The king's small river.
seq_235	pa ta si	A father's three sits.
seq_236	na _ _ jha	The _'s place.
seq_237	dh ha sa	A stand holds.
seq_238	sa ka ba	A stand's good person.
seq_239	ra ku na	The grain's river.
seq_240	ka dh ku sa	A stand holds.
seq_241	ga ba na na na mu	A river's mouth.
seq_242	sa na ta	A river's three.
seq_243	ka ra pa pa	The father's father.
seq_244	gh na sa	A river's stand.
seq_245	na na ch	A river's cut.
seq_246	ta dh la	A three holds small.
seq_247	pa _ _ pa	The _'s father.
seq_248	ra ka un	Up a king's person.
seq_249	ku la la ma	The grain's small mother.
seq_250	ta ka ku ha na	The land's river.
seq_251	_ sa _ pa ta	A father's three.
seq_252	ma dh ch sa	A stand holds.
seq_253	dh na ka ma ch	A mother's cut holds.
seq_254	ch la la	A small cut.
seq_255	sa ga sa	A stand's great stand.
seq_256	ma ja ra gh	A house comes.
seq_257	na pa sa ba la ma	The stand's small mother.
seq_258	_ ga dh cha	A _ holds sacred.
seq_259	la mu ku	A mouth's grain.
seq_260	sh bh ma ba	The mother bes good.
seq_261	ma _ ta sa sa na	The stand's river.
seq_262	na sa sa	A stand's stand.
seq_263	la la pa	The small father.
seq_264	na gh pa	The house's father.
seq_265	ra pa pa la pa	The father's small father.
seq_266	sa dh na	The river holds.
seq_267	ba ra pa	The king's father.
seq_268	pa sa bh la mu	A mouth bes small.
seq_269	na na _ jha	The _'s place.
seq_270	ch pa ba	The cut's good father.
seq_271	na ku _	A grain's _.
seq_272	pa ma pa g ka	A cow's person.
seq_273	ta ka dh ku mu	A mouth holds.
seq_274	pa pa ka la ka	A person's small person.
seq_275	gh pa dh	The house's father holds.
seq_276	pa dh ra pa	The father holds.
seq_277	ma la ma na	The mother's river.
seq_278	la na pa pa	The father's father.
seq_279	ku ha pa la ha	The father's small land.
seq_280	_ pa _ pa	The _'s father.
seq_281	da mu la	A mouth does small.
seq_282	pa la la ka	A father's small person.
seq_283	ku na la	The grain's small river.
seq_284	ka la ra bh	The person's small king bes.
seq_285	ka ku ha	The grain's land.
seq_286	ra dh mu ta na	The three's river holds.
seq_287	sa mu bh na _	A _ bes.
seq_288	la na na na ra	The river's king.
seq_289	_ pa la gh	A father's small house.
seq_290	na ka ku	A person's grain.
seq_291	_ _ _ cha	A _'s sacred _.
seq_292	na pa pa	The father's father.
seq_293	pa ka ch pa	The cut's father.
seq_294	ba na _ sa pa ha ja na	The river comes.
seq_295	sa pa na	The father's river.
seq_296	ba _ ta	A _'s three.
seq_297	ta ma la	The three's small mother.
seq_298	ta sa sa mu gh ta	A house's three.
seq_299	ma pa sa si	A father's stand sits.
seq_300	pa sa ta ba	A stand's good three.
seq_301	ka pa ga	The person's great father.
seq_302	ga dh _ jha	The place holds.
seq_303	ha la pa ta pa	The three's father.
seq_304	na ba ka	A river's good person.
seq_305	ta mu la	A three's small mouth.
seq_306	la ta ta ku	A three's grain.
seq_307	bh pa ba ha	The good land bes.
seq_308	ra na bh re	Flows.
seq_309	ha ta ta	A three's three.
seq_310	bh na ma	The mother bes.
seq_311	na na la	The river's small river.
seq_312	ta na ka	A river's person.
seq_313	na na pa cha	The river's sacred father.
seq_314	ka da la	A person does small.
seq_315	na ku dh sa	A stand holds.
seq_316	mu ma sh ka pa	The father shines.
seq_317	pa ra sh gh	A house shines.
seq_318	ku ha pa	The land's father.
seq_319	pa pa na pu ta	A river's pure three.
seq_320	ch ka na	The person's river.
seq_321	sa ra ba	The stand's good king.
seq_322	ch ba ra ka	A king's person.
seq_323	pa pa pa na ra	The river's king.
seq_324	_ _ _ pa	The _'s father.
seq_325	ba ka na mu	A river's mouth.
seq_326	da ka ta	A three does.
seq_327	gh bh ku	A grain bes.
seq_328	pa da na	The river does.
seq_329	ka ka ta ku	A three's grain.
seq_330	la pa si ha	The land sits.
seq_331	gh pa la dh	The house's small father holds.
seq_332	ka ku ch	A grain's cut.
seq_333	la ku _	A grain's _.
seq_334	na ku sa	A grain's stand.
seq_335	_ la pa	The _'s small father.
seq_336	_ _ ga jha	The _'s great place.
